stock,buy_price,n_shares,sell_price,net_gain,buy_date,sell_date
VZ,55.22,62,55.12,-6.200000000000088,2021-08-07,2021-08-10
MCD,233.45,14,235.55,29.40000000000032,2021-08-11,2021-08-12
V,231.79,15,232.65,12.900000000000205,2021-08-13,2021-08-16
DIS,175.83,19,174.74,-20.710000000000065,2021-08-18,2021-08-19
BA,212.16,16,212.67,8.159999999999854,2021-08-20,2021-08-23
VZ,55.42,62,55.01,-25.42000000000023,2021-08-24,2021-08-25
AMGN,221.59,15,222.78,17.849999999999966,2021-08-26,2021-08-28
HON,231.14,15,231.91,11.550000000000153,2021-08-29,2021-09-01
BA,218.12,15,220.83,40.65000000000012,2021-09-02,2021-09-03
WBA,51.29,68,51.29,0.0,2021-09-04,2021-09-07
MMM,185.58,18,187.89,41.57999999999953,2021-09-08,2021-09-09
AMGN,215.58,16,218.13,40.79999999999973,2021-09-10,2021-09-16
BA,213.36,16,213.36,0.0,2021-09-17,2021-09-20
AMGN,215.11,16,213.64,-23.520000000000437,2021-09-21,2021-09-23
UNH,408.03,8,407.08,-7.599999999999909,2021-09-24,2021-09-25
KO,53.89,66,53.02,-57.41999999999983,2021-09-26,2021-10-02
MRK,81.4,43,83.1,73.09999999999951,2021-10-03,2021-10-05
V,224.28,16,226.51,35.679999999999836,2021-10-06,2021-10-07
MMM,177.8,20,176.95,-17.000000000000455,2021-10-08,2021-10-09
VZ,53.24,67,52.27,-64.98999999999992,2021-10-10,2021-10-18
MRK,77.15,45,79.49,105.29999999999951,2021-10-19,2021-10-20
V,231.42,15,230.24,-17.699999999999676,2021-10-21,2021-10-22
BA,212.97,17,212.87,-1.6999999999999034,2021-10-23,2021-10-26
MCD,236.42,15,250.58,212.40000000000038,2021-10-27,2021-11-02
TRV,158.82,24,160.25,34.320000000000164,2021-11-03,2021-11-04
V,208.78,18,216.67,142.01999999999975,2021-11-05,2021-11-06
GS,407.08,9,405.35,-15.569999999999652,2021-11-07,2021-11-10
AAPL,147.92,27,153.49,150.39000000000058,2021-11-11,2021-11-18
TRV,156.03,26,152.53,-91.0,2021-11-19,2021-11-20
TRV,152.53,26,156.87,112.84000000000009,2021-11-21,2021-11-23
DIS,151.03,27,148.11,-78.83999999999966,2021-11-24,2021-11-27
AMGN,201.09,20,201.17,1.5999999999996817,2021-11-28,2021-12-03
CRM,258.32,15,258.75,6.450000000000102,2021-12-04,2021-12-07
INTC,52.57,78,51.75,-63.96000000000002,2021-12-08,2021-12-09
NKE,168.1,24,169.06,23.04000000000019,2021-12-10,2021-12-11
CRM,266.03,15,252.93,-196.4999999999995,2021-12-12,2021-12-19
HD,387.98,9,390.47,22.410000000000082,2021-12-20,2021-12-22
TRV,154.69,25,154.65,-0.999999999999801,2021-12-23,2021-12-26
JPM,157.26,24,158.16,21.600000000000136,2021-12-27,2021-12-28
