stock,buy_price,n_shares,sell_price,net_gain,buy_date,sell_date
HON,223.17,14,222.5,-9.379999999999825,2021-06-15,2021-06-16
HD,302.78,10,302.61,-1.6999999999995907,2021-06-17,2021-06-20
MSFT,259.43,12,266.69,87.11999999999989,2021-06-21,2021-06-25
MCD,232.42,13,232.42,0.0,2021-06-26,2021-06-27
JNJ,164.21,19,168.98,90.62999999999965,2021-06-28,2021-07-03
MCD,233.63,14,233.63,0.0,2021-07-04,2021-07-06
MSFT,277.66,11,277.94,3.0799999999997,2021-07-07,2021-07-11
BA,239.59,13,222.76,-218.79000000000016,2021-07-12,2021-07-16
MRK,78.02,39,77.05,-37.829999999999956,2021-07-17,2021-07-20
MSFT,279.32,10,281.4,20.79999999999984,2021-07-21,2021-07-22
VZ,55.95,54,55.88,-3.7800000000000153,2021-07-23,2021-07-24
CSCO,55.23,55,54.77,-25.299999999999656,2021-07-25,2021-07-29
AMGN,242.46,12,241.54,-11.040000000000191,2021-07-30,2021-07-31
INTC,53.72,56,53.68,-2.2399999999999523,2021-08-01,2021-08-03
MMM,201.03,15,197.53,-52.5,2021-08-04,2021-08-05
WBA,46.93,63,48.43,94.5,2021-08-06,2021-08-11
MRK,75.21,40,76.04,33.2000000000005,2021-08-12,2021-08-13
BA,234.46,13,229.06,-70.20000000000007,2021-08-14,2021-08-17
TRV,158.9,19,158.72,-3.4200000000001296,2021-08-18,2021-08-19
CSCO,57.27,53,58.22,50.349999999999774,2021-08-20,2021-08-22
KO,56.64,54,56.44,-10.800000000000153,2021-08-23,2021-08-24
HD,324.9,9,321.48,-30.77999999999963,2021-08-25,2021-08-27
KO,55.65,54,55.65,0.0,2021-08-28,2021-08-29
CAT,212.83,14,211.45,-19.320000000000334,2021-08-30,2021-08-31
GS,413.51,7,413.66,1.0500000000002387,2021-09-01,2021-09-02
AMGN,225.96,13,226.37,5.329999999999956,2021-09-03,2021-09-04
UNH,422.86,7,422.86,0.0,2021-09-05,2021-09-06
MMM,194.39,15,185.58,-132.1499999999996,2021-09-07,2021-09-08
JNJ,171.9,16,166.97,-78.88000000000011,2021-09-09,2021-09-13
BA,214.48,13,213.36,-14.55999999999969,2021-09-14,2021-09-17
AAPL,146.06,19,146.92,16.33999999999972,2021-09-18,2021-09-25
TRV,156.46,18,156.46,0.0,2021-09-26,2021-09-27
AMGN,213.11,13,214.9,23.269999999999897,2021-09-28,2021-09-30
WBA,47.05,60,46.8,-15.0,2021-10-01,2021-10-02
IBM,136.89410448,20,136.7317266,-3.247557600000164,2021-10-03,2021-10-06
VZ,54.53,51,53.9,-32.13000000000013,2021-10-07,2021-10-08
WMT,139.66,20,139.66,0.0,2021-10-09,2021-10-10
MMM,176.95,15,175.53,-21.299999999999812,2021-10-11,2021-10-13
CRM,284.41,9,291.66,65.25,2021-10-14,2021-10-18
HD,355.01,7,358.23,22.54000000000019,2021-10-19,2021-10-21
CAT,202.14,14,200.65,-20.85999999999973,2021-10-22,2021-10-23
MSFT,309.16,9,309.16,0.0,2021-10-24,2021-10-25
CAT,202.21,14,204.09,26.319999999999936,2021-10-26,2021-10-29
MRK,88.05,32,88.05,0.0,2021-10-30,2021-10-31
BA,207.03,13,214.58,98.15000000000015,2021-11-01,2021-11-02
MSFT,333.13,8,336.44,26.480000000000018,2021-11-03,2021-11-05
CRM,307.25,9,309.96,24.389999999999816,2021-11-06,2021-11-09
PG,145.39,20,146.56,23.40000000000032,2021-11-10,2021-11-14
PG,146.56,20,147.1,10.79999999999984,2021-11-15,2021-11-18
AAPL,157.87,19,160.55,50.92000000000013,2021-11-19,2021-11-20
CVX,111.91,27,113.91,54.0,2021-11-21,2021-11-23
AAPL,161.41,19,161.94,10.070000000000022,2021-11-24,2021-11-25
HD,412.11,7,406.82,-37.03000000000014,2021-11-26,2021-11-30
UNH,444.22,7,444.34,0.8399999999996339,2021-12-01,2021-12-02
VZ,50.73,61,51.42,42.090000000000295,2021-12-03,2021-12-04
V,196.32,16,208.99,202.72000000000025,2021-12-05,2021-12-09
CRM,264.32,12,266.03,20.519999999999754,2021-12-10,2021-12-11
HD,415.4,8,405.24,-81.27999999999975,2021-12-12,2021-12-14
HON,206.68,16,209.76,49.279999999999745,2021-12-15,2021-12-16
MMM,178.31,18,174.75,-64.08000000000004,2021-12-17,2021-12-19
HD,387.98,8,395.64,61.279999999999745,2021-12-20,2021-12-23
MRK,75.73,44,76.57,36.959999999999525,2021-12-24,2021-12-28
MMM,177.64,19,178.41,14.630000000000194,2021-12-29,2021-12-30
